StimulationCondition	HerdType	FramingType	OfferType	PlayerChoice	PlayerReactionTime
2	1.0	0	4	1	1969.9052
2	3.0	0	5	1	902.0741
2	3.0	1	3	1	1836.4263
2	3.0	0	4	0	2387.0267
2	4.0	0	3	0	2687.3542
2	4.0	1	1	1	1919.8506
2	4.0	1	2	1	1769.6868
2	4.0	1	3	1	1102.2924
2	4.0	1	3	1	718.5406
2	3.0	0	3	1	2670.6693
2	1.0	1	1	1	2520.5056
2	3.0	0	3	0	1953.2203
2	2.0	0	2	1	2403.7115
2	3.0	0	5	1	1953.2203
2	3.0	0	4	1	1536.0988
2	4.0	1	4	1	985.4984
2	3.0	0	5	1	1052.2378
2	1.0	1	4	1	1235.7713
2	3.0	0	4	1	835.3347
2	3.0	0	2	1	1102.2924
2	3.0	1	5	1	935.4438
2	4.0	0	5	1	902.0741
2	1.0	0	3	1	2136.7538
2	4.0	0	2	1	2286.9175
2	2.0	1	2	1	968.8135
2	1.0	1	5	1	818.6498
2	1.0	1	4	1	1569.4685
2	2.0	1	5	1	785.2801
2	4.0	1	1	0	1619.5231
2	4.0	1	4	1	1419.3048
2	3.0	0	3	1	2670.6693
2	4.0	0	1	0	501.6374
2	3.0	1	4	1	1352.5653
2	3.0	0	1	0	835.3347
2	3.0	0	1	0	685.1709
2	3.0	0	1	0	985.4984
2	3.0	0	2	0	1969.9052
2	1.0	0	4	1	785.2801
2	2.0	1	1	0	501.6374
2	2.0	0	5	1	1035.553
2	1.0	0	3	0	2253.5478
2	2.0	1	2	0	801.9649
2	1.0	1	4	1	535.0072
2	3.0	1	2	0	718.5406
2	1.0	1	5	1	535.0072
2	2.0	1	3	0	801.9649
2	1.0	0	2	0	735.2255
2	3.0	0	1	0	801.9649
2	2.0	1	3	0	1068.9227
2	4.0	0	3	0	451.5829
2	1.0	0	4	1	968.8135
2	1.0	1	1	0	484.9526
2	1.0	1	2	0	585.0617
2	3.0	1	1	0	484.9526
2	1.0	0	1	0	585.0617
2	1.0	0	5	1	1135.6621
2	2.0	1	4	1	1319.1956
2	4.0	1	5	1	1118.9773
2	2.0	0	2	0	1002.1833
2	4.0	1	4	1	985.4984
2	4.0	1	5	1	1152.347
2	2.0	0	1	0	751.9104
2	3.0	1	1	0	668.4861
2	4.0	0	4	1	768.5952
2	3.0	0	5	1	768.5952
2	2.0	1	5	1	551.692
2	2.0	1	5	1	568.3769
2	4.0	1	3	0	635.1163
2	3.0	1	2	0	501.6374
2	2.0	1	2	0	668.4861
2	2.0	0	2	0	1052.2378
2	2.0	1	4	1	518.3223
2	2.0	1	2	0	518.3223
2	1.0	1	3	0	668.4861
2	4.0	0	3	0	718.5406
2	1.0	0	3	0	1452.6745
2	4.0	1	2	0	484.9526
2	2.0	1	1	0	768.5952
2	3.0	1	5	1	434.898
2	2.0	0	5	1	384.8434
2	4.0	0	4	1	718.5406
2	3.0	0	4	1	618.4315
2	4.0	1	1	0	535.0072
2	3.0	1	3	0	1052.2378
2	1.0	1	3	0	434.898
2	1.0	0	2	0	518.3223
2	1.0	0	1	0	751.9104
2	4.0	0	2	0	1219.0864
2	2.0	0	1	0	651.8012
1	2.0	0	5	1	434.898
1	1.0	0	4	1	751.9104
1	4.0	0	3	0	1302.5108
1	4.0	1	3	0	801.9649
1	1.0	1	5	1	368.1586
1	2.0	1	4	1	484.9526
1	1.0	0	1	0	401.5283
1	1.0	0	4	1	1385.9351
1	1.0	1	2	0	585.0617
1	4.0	1	1	0	468.2677
1	2.0	0	3	0	1519.4139
1	3.0	0	5	1	451.5829
1	3.0	0	1	0	484.9526
1	1.0	0	5	1	551.692
1	1.0	1	5	1	1669.5777
1	4.0	0	1	0	818.6498
1	1.0	1	2	0	618.4315
1	2.0	0	2	0	401.5283
1	3.0	1	2	0	852.0195
1	1.0	1	1	0	418.2131
1	1.0	1	4	1	401.5283
1	1.0	1	1	0	1602.8382
1	2.0	1	3	0	1736.3171
1	4.0	1	5	1	601.7466
1	1.0	0	5	1	384.8434
1	3.0	0	4	1	518.3223
1	1.0	0	5	1	418.2131
1	3.0	1	4	1	384.8434
1	4.0	0	3	0	1736.3171
1	3.0	1	2	0	1385.9351
1	3.0	1	4	1	685.1709
1	4.0	0	1	0	501.6374
1	2.0	0	1	0	368.1586
1	3.0	0	5	1	334.7888
1	2.0	1	5	1	418.2131
1	1.0	0	1	0	501.6374
1	1.0	0	2	0	668.4861
1	2.0	0	5	1	351.4737
1	4.0	1	2	0	835.3347
1	2.0	1	5	1	334.7888
1	4.0	1	3	0	484.9526
1	4.0	1	3	0	284.7343
1	1.0	1	4	1	401.5283
1	3.0	1	5	1	585.0617
1	3.0	1	2	0	418.2131
1	3.0	0	1	0	535.0072
1	2.0	0	3	0	1152.347
1	2.0	1	3	0	785.2801
1	3.0	1	4	1	785.2801
1	2.0	0	4	1	868.7044
1	3.0	0	5	1	601.7466
1	4.0	0	2	0	551.692
1	4.0	1	2	0	852.0195
1	4.0	0	3	0	434.898
1	1.0	1	2	0	418.2131
1	3.0	0	2	0	418.2131
1	3.0	1	1	1	368.1586
1	2.0	0	4	1	384.8434
1	3.0	1	5	1	401.5283
1	2.0	1	1	0	585.0617
1	1.0	0	2	0	368.1586
1	1.0	0	3	0	535.0072
1	3.0	0	3	0	418.2131
1	2.0	1	2	0	418.2131
1	2.0	1	3	0	434.898
1	2.0	1	3	0	351.4737
1	4.0	0	5	1	468.2677
1	4.0	1	4	1	451.5829
1	2.0	0	2	0	468.2677
1	2.0	1	3	0	985.4984
1	3.0	1	1	0	334.7888
1	4.0	1	1	0	468.2677
1	1.0	1	3	0	384.8434
