Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
3	Dictator	Person	30	1955.5171	n/a	n/a
3	Ultimatum	Person	60	370.419	0	0
3	Dictator	PC	20	270.3076	n/a	n/a
3	Ultimatum	PC	50	520.5862	0	0
3	Ultimatum	Person	50	470.5305	0	0
3	Ultimatum	PC	60	2155.74	0	0
3	Dictator	Person	20	854.291	n/a	n/a
3	Ultimatum	PC	70	470.5305	0	0
3	Dictator	PC	20	2139.0547	n/a	n/a
3	Ultimatum	Person	50	1338.1631	0	0
3	Ultimatum	Person	80	670.7534	0	0
3	Ultimatum	PC	70	453.8452	0	0
3	Ultimatum	Person	70	1171.3107	0	0
3	Dictator	Person	10	253.6223	n/a	n/a
3	Dictator	Person	10	337.0485	n/a	n/a
3	Dictator	PC	10	387.1042	n/a	n/a
3	Dictator	PC	10	1571.7565	n/a	n/a
3	Dictator	PC	10	520.5862	n/a	n/a
3	Dictator	Person	n/a	NaN	n/a	n/a
1	Ultimatum	PC	60	1154.6254	0	0
1	Ultimatum	PC	60	186.8813	0	0
1	Ultimatum	PC	n/a	NaN	0	0
1	Ultimatum	Person	100	620.6976	0	0
1	Dictator	Person	10	620.6976	n/a	n/a
1	Ultimatum	PC	60	854.291	0	0
1	Dictator	PC	0	320.3633	n/a	n/a
1	Dictator	PC	0	1071.1992	n/a	n/a
1	Dictator	PC	0	904.3468	n/a	n/a
1	Dictator	Person	10	2389.3334	n/a	n/a
1	Ultimatum	PC	50	1338.1631	0	0
1	Dictator	Person	10	720.8091	n/a	n/a
1	Dictator	PC	0	553.9567	n/a	n/a
1	Dictator	PC	0	403.7895	n/a	n/a
1	Dictator	Person	10	987.773	n/a	n/a
1	Ultimatum	Person	60	704.1239	0	0
1	Dictator	Person	10	637.3829	n/a	n/a
1	Ultimatum	PC	50	787.5501	0	0
1	Ultimatum	Person	60	420.4747	0	0
1	Ultimatum	Person	70	403.7895	0	0
2	Ultimatum	Person	60	587.3272	0	0
2	Ultimatum	PC	50	353.7338	0	0
2	Ultimatum	PC	50	470.5305	0	0
