Condition	GameType	OpponentType	PlayerChoice	PlayerRT	OpponentLoss	PlayerLoss
5	1	1	30	1455.5005		
5	1	2	20	2072.9294		
5	2	2	50	3.7082	0.0	0.0
5	1	1	30	1455.5005		
5	1	2	20	1105.0678		
5	1	2	20	270.7045		
5	1	1	40	1021.6315		
5	2	2	50	487.6389	0.0	0.0
5	1	2	30	1238.566		
5	2	2	50	354.1408	0.0	0.0
5	2	1	50	654.5116	0.0	0.0
5	2	1	50	1472.1877	0.0	0.0
5	2	1	50	1038.3188	0.0	0.0
5	2	2	50	1105.0678	0.0	0.0
5	2	1	80	254.0172	0.0	0.0
5	1	2	20	771.3225		
5	1	1	30	1205.1915		
5	1	1	20	2006.1803		
5	2	2	50	354.1408	0.0	0.0
2	2	1	80	804.697	0.0	0.0
2	2	2	50	320.7663	0.0	0.0
2	1	2	30	1555.6241		
2	2	2	50	1488.875	0.0	0.0
2	1	2	10	470.9517		
2	2	2	50	571.0753	0.0	0.0
2	2	2	50	788.0098	0.0	0.0
2	2	1	50	2089.6166	0.0	0.0
2	1	2	10	654.5116		
2	1	2	10	337.4535		
2	2	1	40	554.388	0.0	0.0
2	1	1	10	287.3917		
2	1	1	0	454.2644		
2	2	1	50	187.2681	0.0	0.0
2	2	1	40	504.3262	0.0	0.0
2	1	1	0	404.2026		
2	1	1	0	320.7663		
2	1	1	0	504.3262		
2	2	2	30	1155.1297	7.0	35.0
2	1	2	0	237.3299		
6	2	1	50	420.8899	0.0	0.0
6	2	2	40	337.4535	0.0	0.0
6	2	2	30	1455.5005	7.0	35.0
6	1	1	0	237.3299		
6	2	2	40	1355.3769	0.0	0.0
6	1	1	0	370.8281		
6	2	1	40	571.0753	0.0	0.0
6	2	1	40	1071.6933	2.0	10.0
6	1	2	0	404.2026		
6	2	1	40	704.5734	0.0	0.0
6	1	2	0	871.4461		
6	1	2	0	370.8281		
6	2	2	40	771.3225	0.0	0.0
6	1	2	0	354.1408		
6	1	1	10	537.7007		
6	1	1	10	737.948		
6	2	1	40	587.7626	0.0	0.0
6	2	1	40	1405.4387	0.0	0.0
6	2	2	40	1422.1259	0.0	0.0
6	1	2	0	254.0172		
3	1	1	10	254.0172		
3	1	1	10	287.3917		
3	2	2	40	354.1408	0.0	0.0
3	2	1	40	637.8244	2.0	10.0
3	2	1	40	938.1952	0.0	0.0
3	2	2	30	737.948	7.0	35.0
3	1	2	0	1355.3769		
3	2	1	40	2056.2421	2.0	10.0
3	1	2	0	454.2644		
3	2	1	10	437.5771	13.0	65.0
3	2	1	40	487.6389	2.0	10.0
3	1	2	0	220.6427		
3	1	2	0	387.5153		
3	2	2	40	454.2644	0.0	0.0
3	2	2	40	938.1952	0.0	0.0
3	1	1	10	554.388		
3	2	2	40	404.2026	2.0	10.0
3	1	1	10	537.7007		
3	1	1	0	1205.1915		
3	1	1	0	304.079		
4	1	2	0	737.948		
4	1	1	10	437.5771		
4	1	1	10	470.9517		
4	1	2	0	370.8281		
4	1	1	10	554.388		
4	2	2	40	687.8862	2.0	10.0
4	1	1	0	871.4461		
4	2	1	40	1021.6315	2.0	10.0
4	2	2	40	354.1408	0.0	0.0
4	1	2	10	1622.3731		
4	1	2	10	454.2644		
4	2	1	40	871.4461	2.0	10.0
4	1	2	10	921.5079		
4	2	2	40	838.0716	0.0	0.0
4	2	1	50	320.7663	0.0	0.0
4	2	2	40	337.4535	0.0	0.0
4	1	2	0	1221.8787		
4	1	1	0	237.3299		
4	2	1	50	387.5153	0.0	0.0
4	2	1	40	254.0172	2.0	10.0
1	2	2	40	587.7626	0.0	0.0
1	2	1	50	1822.6204	0.0	0.0
1	1	2	0	3.7082		
1	2	2	40	2373.3002	0.0	0.0
1	2	2	40	504.3262	0.0	0.0
1	2	1	50	337.4535	0.0	0.0
1	1	2	0	854.7588		
1	1	1	10	387.5153		
1	1	1	10	420.8899		
1	1	1	10	370.8281		
1	2	1	50	1488.875	0.0	0.0
1	1	1	10	504.3262		
1	1	2	0	1138.4424		
1	2	2	40	287.3917	2.0	10.0
1	2	2	40	954.8824	0.0	0.0
1	2	2	10	404.2026	15.0	75.0
1	2	1	50	504.3262	0.0	0.0
1	2	1	50	954.8824	0.0	0.0
1	1	2	0	287.3917		
1	1	2	0	504.3262		
