Subject, Baseline tRNS rTPJ, Baseline tRNS rDLPFC, Basline Sham, Punishment tRNS rTPJ, Punishment tRNS rDLPFC, Punishment Sham
6, 9.090909090909092, 43.0, 17.0, 87.5, 84.0, 85.0
8, 5.454545454545454, 26.0, 2.2222222222222223, 42.22222222222222, 53.333333333333336, 40.0
9, 27.142857142857142, 35.55555555555556, 28.88888888888889, 50.0, 47.0, 61.0
10, 14.0, 22.22222222222222, 13.636363636363637, 46.0, 41.81818181818182, 48.888888888888886
11, 68.33333333333333, 63.333333333333336, 61.81818181818182, 52.5, 58.18181818181818, 64.44444444444444
12, 17.77777777777778, 25.0, 18.181818181818183, 50.0, 50.0, 50.0
13, 20.0, 26.25, 17.77777777777778, 70.0, 67.0, 75.55555555555556
15, 9.0, 7.0, 11.0, 61.0, 57.0, 61.0
16, 23.333333333333332, 28.333333333333332, 10.0, 76.66666666666667, 81.66666666666667, 80.0
19, 57.0, 30.0, 72.0, 91.0, 79.0, 89.0
20, 47.0, 50.0, 50.0, 56.0, 60.0, 59.0
21, 7.777777777777778, 0.0, 10.0, 32.0, 28.75, 44.0
23, 8.88888888888889, 6.0, 8.0, 48.0, 39.0, 40.0
